Country,State,Year,Additional Info,"Number Of Suicides (UOM:Number), Scaling Factor:1","Percentage Share In Total Suicides (UOM:%(Percentage)), Scaling Factor:1","Projected Mid-Year Population (UOM:Number), Scaling Factor:100000","Rate Of Suicides (UOM:Ratio), Scaling Factor:1","Rank (UOM:Number), Scaling Factor:1"
India,Uttarakhand,"Calendar Year (Jan - Dec), 2014",,207,0.2,104.1,2.0,
India,West Bengal,"Calendar Year (Jan - Dec), 2014",,14310,10.9,921.9,15.5,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",,151,0.1,5.3,28.8,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2013",,8561.90696286698808646842,10.8,506.903343704208345120688,16.9,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2013",,229,0.2,12.7,18.0,
India,Assam,"Calendar Year (Jan - Dec), 2013",,3553,2.6,314.5,11.3,
India,Bihar,"Calendar Year (Jan - Dec), 2013",,1057,0.8,1007.2,1.1,
India,Chandigarh,"Calendar Year (Jan - Dec), 2013",,97,0.1,16.1,6.0,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2013",,5436,4.0,250.2,21.7,
India,Goa,"Calendar Year (Jan - Dec), 2013",,328,0.2,18.9,17.4,
India,Gujarat,"Calendar Year (Jan - Dec), 2013",,7166,5.3,608.3,11.8,
India,Haryana,"Calendar Year (Jan - Dec), 2013",,3316,2.5,264.1,12.6,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2013",,554,0.4,69.4,8.0,
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",,295.39431173480812427820,0.2,117.962099321913443006460,2.5,
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",,1460,1.1,324.8,4.5,
India,Karnataka,"Calendar Year (Jan - Dec), 2013",,11266,8.4,608.2,18.5,
India,Kerala,"Calendar Year (Jan - Dec), 2013",,8646,6.4,351.1,24.6,
India,Ladakh,"Calendar Year (Jan - Dec), 2013",,6.60568826519187572180,0.2,2.637900678086556993540,2.5,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2013",,3,0.0,0.8,3.9,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2013",,9446,7.0,748.7,12.6,
India,Maharashtra,"Calendar Year (Jan - Dec), 2013",,16622,12.3,1162.1,14.3,
India,Manipur,"Calendar Year (Jan - Dec), 2013",,37,0.0,25.2,1.5,
India,Meghalaya,"Calendar Year (Jan - Dec), 2013",,137,0.1,26.9,5.1,
India,Mizoram,"Calendar Year (Jan - Dec), 2013",,95,0.1,10.3,9.2,
India,Nagaland,"Calendar Year (Jan - Dec), 2013",,37,0.0,23.1,1.6,
India,Odisha,"Calendar Year (Jan - Dec), 2013",,5252,3.9,415.7,12.6,
India,Puducherry,"Calendar Year (Jan - Dec), 2013",,546,0.4,15.3,35.6,
India,Punjab,"Calendar Year (Jan - Dec), 2013",,972,0.7,283.8,3.4,
India,Rajasthan,"Calendar Year (Jan - Dec), 2013",,4860,3.6,702.9,6.9,
India,Sikkim,"Calendar Year (Jan - Dec), 2013",,184,0.1,6.3,29.3,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2013",,16601,12.3,684.0,24.3,
India,Telangana,"Calendar Year (Jan - Dec), 2013",,6045.09303713301191353158,10.8,357.896656295791654879312,16.9,
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2013",,113.00000000000000000000,0.036931548946183642879,6.900000000000000000000,14.084059677757302573964,
India,Tripura,"Calendar Year (Jan - Dec), 2013",,961,0.7,37.1,25.9,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2013",,5286,3.9,2089.2,2.5,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2013",,365,0.3,102.7,3.6,
India,West Bengal,"Calendar Year (Jan - Dec), 2013",,13055,9.7,913.9,14.3,
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2012",,121,0.1,5.12,23.6,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2012",,8345.61726140207957658228,10.5,502.5892726939597634600864,16.6,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2012",,130,0.1,12.6,10.3,
India,Assam,"Calendar Year (Jan - Dec), 2012",,3264,2.4,310.71,10.5,
India,Bihar,"Calendar Year (Jan - Dec), 2012",,759,0.6,994.57,0.8,
India,Chandigarh,"Calendar Year (Jan - Dec), 2012",,114,0.1,15.32,7.4,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2012",,5654,4.2,246.95,22.9,
India,Goa,"Calendar Year (Jan - Dec), 2012",,289,0.2,18.34,15.8,
